Marker	LG	Distance (cM)	Sctg	Position_Sctg
24115_sctg_160_133867	3	90.443	160	133867
24106_sctg_160_120578	3	90.443	160	120578
24090_sctg_160_100859	3	90.443	160	100859
24317_sctg_160_98405	3	90.443	160	98405
24316_sctg_160_98177	3	90.443	160	98177
24312_sctg_160_94874	3	90.443	160	94874
24309_sctg_160_91796	3	90.443	160	91796
24285_sctg_160_46421	3	90.443	160	46421
24138_sctg_160_16279	3	90.443	160	16279
24094_sctg_160_10614	3	90.443	160	10614
61134_sctg_324_53585	4	0	324	53585
61155_sctg_324_81654	4	0	324	81654
61158_sctg_324_82148	4	0	324	82148
61164_sctg_324_89658	4	0	324	89658
61069_sctg_324_115210	4	0	324	115210
61078_sctg_324_129968	4	0	324	129968
79881_sctg_460_13726	4	0	460	13726
79889_sctg_460_34296	4	0	460	34296
82826_sctg_494_35878	4	0	494	35878
80262_sctg_467_75026	4	0	467	75026
80247_sctg_467_51687	4	0	467	51687
80243_sctg_467_35074	4	0	467	35074
80239_sctg_467_26865	4	0.116	467	26865
43406_sctg_236_15136	4	2.815	236	15136
43517_sctg_236_62847	4	7.05	236	62847
43534_sctg_236_87845	4	7.05	236	87845
43540_sctg_236_91699	4	7.05	236	91699
43461_sctg_236_229657	4	11.281	236	229657
43470_sctg_236_243296	4	11.281	236	243296
43063_sctg_233_19999	4	11.285	233	19999
43056_sctg_233_172759	4	17.573	233	172759
2874_sctg_101_465224	4	18.828	101	465224
2872_sctg_101_462123	4	18.828	101	462123
2848_sctg_101_416283	4	22.593	101	416283
2768_sctg_101_281218	4	23.848	101	281218
2743_sctg_101_245637	4	23.848	101	245637
2707_sctg_101_195181	4	23.848	101	195181
2674_sctg_101_152990	4	26.857	101	152990
2831_sctg_101_38334	4	31.385	101	38334
2756_sctg_101_26813	4	31.385	101	26813
2733_sctg_101_22494	4	31.385	101	22494
23460_sctg_15_1086956	4	31.385	15	1086956
23445_sctg_15_1064186	4	32.636	15	1064186
23433_sctg_15_1021840	4	32.636	15	1021840
24082_sctg_15_995450	4	32.636	15	995450
24049_sctg_15_952979	4	32.636	15	952979
23975_sctg_15_827526	4	36.393	15	827526
23967_sctg_15_819356	4	36.393	15	819356
23960_sctg_15_811883	4	36.393	15	811883
23955_sctg_15_798663	4	36.393	15	798663
23948_sctg_15_791661	4	36.393	15	791661
23939_sctg_15_766192	4	36.393	15	766192
23924_sctg_15_749681	4	36.393	15	749681
23830_sctg_15_636354	4	41.41	15	636354
23884_sctg_15_695056	4	42.662	15	695056
23759_sctg_15_527287	4	45.166	15	527287
23729_sctg_15_484318	4	45.166	15	484318
23690_sctg_15_454169	4	45.166	15	454169
23688_sctg_15_453973	4	45.166	15	453973
23684_sctg_15_448746	4	45.166	15	448746
23671_sctg_15_431045	4	45.166	15	431045
23640_sctg_15_367848	4	45.166	15	367848
23631_sctg_15_354312	4	46.416	15	354312
23630_sctg_15_354073	4	46.416	15	354073
23524_sctg_15_168167	4	53.973	15	168167
23518_sctg_15_152384	4	53.973	15	152384
23451_sctg_15_107043	4	53.973	15	107043
45436_sctg_244_546	4	56.475	244	546
45343_sctg_244_15963	4	56.475	244	15963
45352_sctg_244_17869	4	56.475	244	17869
45363_sctg_244_18707	4	56.475	244	18707
45366_sctg_244_18908	4	56.475	244	18908
45425_sctg_244_41060	4	56.475	244	41060
45426_sctg_244_45899	4	56.475	244	45899
45458_sctg_244_82172	4	56.475	244	82172
45320_sctg_244_118303	4	57.726	244	118303
35788_sctg_201_178519	4	57.726	201	178519
35893_sctg_201_96042	4	57.726	201	96042
35887_sctg_201_75484	4	57.726	201	75484
35882_sctg_201_61181	4	57.726	201	61181
35880_sctg_201_60025	4	57.726	201	60025
35877_sctg_201_57616	4	57.726	201	57616
104821_sctg_80_565457	4	64.008	80	565457
104800_sctg_80_525012	4	64.008	80	525012
104790_sctg_80_503301	4	64.008	80	503301
104783_sctg_80_492556	4	64.008	80	492556
104779_sctg_80_488066	4	64.008	80	488066
104653_sctg_80_276325	4	70.291	80	276325
104648_sctg_80_274021	4	70.291	80	274021
104646_sctg_80_273768	4	70.291	80	273768
104632_sctg_80_266450	4	70.291	80	266450
104617_sctg_80_256441	4	70.291	80	256441
104603_sctg_80_243344	4	70.291	80	243344
104596_sctg_80_237344	4	70.291	80	237344
104589_sctg_80_223448	4	70.291	80	223448
104558_sctg_80_181471	4	71.542	80	181471
104547_sctg_80_153509	4	71.542	80	153509
104531_sctg_80_131208	4	71.542	80	131208
104523_sctg_80_109492	4	71.542	80	109492
104520_sctg_80_105932	4	71.542	80	105932
104519_sctg_80_105493	4	71.542	80	105493
104516_sctg_80_102851	4	71.542	80	102851
104897_sctg_80_99429	4	71.542	80	99429
104892_sctg_80_93461	4	71.542	80	93461
104695_sctg_80_37349	4	77.831	80	37349
78781_sctg_44_805693	4	80.34	44	805693
78734_sctg_44_748347	4	80.34	44	748347
78714_sctg_44_718379	4	80.34	44	718379
78688_sctg_44_698763	4	80.34	44	698763
78672_sctg_44_682969	4	80.84	44	682969
78678_sctg_44_688001	4	81.59	44	688001
78676_sctg_44_687619	4	81.59	44	687619
78671_sctg_44_682505	4	81.59	44	682505
78669_sctg_44_680970	4	81.59	44	680970
78665_sctg_44_673921	4	81.59	44	673921
78663_sctg_44_673107	4	81.59	44	673107
78662_sctg_44_672629	4	81.59	44	672629
78659_sctg_44_670870	4	81.59	44	670870
78650_sctg_44_651544	4	83.254	44	651544
78639_sctg_44_633097	4	83.254	44	633097
78623_sctg_44_609386	4	86.601	44	609386
78618_sctg_44_604346	4	86.601	44	604346
78605_sctg_44_576656	4	86.901	44	576656
78608_sctg_44_578538	4	89.103	44	578538
78550_sctg_44_498172	4	89.103	44	498172
78546_sctg_44_491521	4	89.103	44	491521
78542_sctg_44_478343	4	89.103	44	478343
78518_sctg_44_416990	4	91.605	44	416990
78512_sctg_44_409517	4	91.605	44	409517
78509_sctg_44_407041	4	91.605	44	407041
78498_sctg_44_361819	4	96.622	44	361819
78482_sctg_44_340740	4	96.622	44	340740
78477_sctg_44_331399	4	96.622	44	331399
78468_sctg_44_316631	4	96.622	44	316631
78452_sctg_44_296213	4	96.622	44	296213
78451_sctg_44_295005	4	96.622	44	295005
78448_sctg_44_294227	4	96.622	44	294227
78436_sctg_44_283716	4	96.622	44	283716
78387_sctg_44_196910	4	96.622	44	196910
78370_sctg_44_166664	4	96.622	44	166664
78368_sctg_44_164603	4	96.622	44	164603
78367_sctg_44_164435	4	96.622	44	164435
78601_sctg_44_57360	4	99.126	44	57360
69734_sctg_37_859701	4	100.378	37	859701
69733_sctg_37_859698	4	100.378	37	859698
69576_sctg_37_574896	4	104.135	37	574896
69575_sctg_37_567812	4	104.135	37	567812
69561_sctg_37_551170	4	104.135	37	551170
69536_sctg_37_530593	4	104.135	37	530593
69531_sctg_37_524493	4	104.135	37	524493
69527_sctg_37_519124	4	104.135	37	519124
69478_sctg_37_456197	4	104.135	37	456197
69470_sctg_37_444142	4	104.135	37	444142
69463_sctg_37_440836	4	104.135	37	440836
69457_sctg_37_439084	4	104.135	37	439084
69452_sctg_37_436986	4	104.135	37	436986
69451_sctg_37_436750	4	104.135	37	436750
69449_sctg_37_434744	4	104.135	37	434744
69448_sctg_37_434477	4	104.135	37	434477
69441_sctg_37_424499	4	104.135	37	424499
69427_sctg_37_391936	4	104.135	37	391936
69426_sctg_37_381597	4	104.135	37	381597
69415_sctg_37_373631	4	104.135	37	373631
69412_sctg_37_367438	4	104.135	37	367438
69403_sctg_37_348296	4	104.135	37	348296
69394_sctg_37_342279	4	104.135	37	342279
69273_sctg_37_209385	4	104.135	37	209385
69235_sctg_37_171240	4	104.135	37	171240
69585_sctg_37_58781	4	105.386	37	58781
17728_sctg_140_429610	4	105.386	140	429610
17727_sctg_140_429036	4	105.386	140	429036
17723_sctg_140_422311	4	105.986	140	422311
17724_sctg_140_422314	4	106.638	140	422314
17715_sctg_140_412251	4	107.89	140	412251
17604_sctg_140_237926	4	111.647	140	237926
17750_sctg_140_65691	4	111.647	140	65691
17737_sctg_140_54000	4	111.647	140	54000
17736_sctg_140_53319	4	111.647	140	53319
17735_sctg_140_52951	4	111.647	140	52951
17682_sctg_140_36040	4	111.667	140	36040
15419_sctg_134_51099	4	115.405	134	51099
15444_sctg_134_92141	4	115.405	134	92141
15246_sctg_134_209194	4	115.405	134	209194
15344_sctg_134_345575	4	116.656	134	345575
15360_sctg_134_364631	4	116.656	134	364631
15363_sctg_134_366682	4	116.656	134	366682
15372_sctg_134_373678	4	116.656	134	373678
15379_sctg_134_384063	4	116.656	134	384063
15402_sctg_134_408285	4	116.656	134	408285
107032_sctg_863_2104	4	116.656	863	2104
53574_sctg_288_18532	5	0	288	18532
53576_sctg_288_18856	5	0	288	18856
49701_sctg_267_127178	5	0	267	127178
46096_sctg_249_120300	5	0	249	120300
46104_sctg_249_129342	5	0	249	129342
46105_sctg_249_132252	5	0	249	132252
46108_sctg_249_136201	5	0	249	136201
46159_sctg_249_185682	5	1.25	249	185682
78304_sctg_449_29846	5	1.25	449	29846
36309_sctg_204_13655	5	1.25	204	13655
36316_sctg_204_155939	5	1.25	204	155939
4763_sctg_1075_4302	5	1.25	1075	4302
80867_sctg_470_26930	5	1.25	470	26930
77034_sctg_434_52979	5	1.44	434	52979
75828_sctg_421_66865	5	5.005	421	66865
42543_sctg_230_218486	5	5.007	230	218486
81965_sctg_484_27049	5	5.015	484	27049
26424_sctg_169_382303	5	5.015	169	382303
26417_sctg_169_370644	5	5.015	169	370644
26395_sctg_169_327766	5	8.764	169	327766
26319_sctg_169_203792	5	8.764	169	203792
26268_sctg_169_161134	5	8.764	169	161134
26250_sctg_169_148391	5	8.764	169	148391
26431_sctg_169_51660	5	11.266	169	51660
54688_sctg_293_112391	5	13.773	293	112391
54756_sctg_293_46003	5	18.796	293	46003
54750_sctg_293_40463	5	18.796	293	40463
54749_sctg_293_40271	5	18.796	293	40271
54698_sctg_293_12378	5	18.796	293	12378
54781_sctg_293_9152	5	18.796	293	9152
87855_sctg_548_17727	5	21.943	548	17727
7896_sctg_114_291446	5	25.092	114	291446
7875_sctg_114_236829	5	28.86	114	236829
7863_sctg_114_222227	5	28.86	114	222227
7859_sctg_114_206941	5	28.86	114	206941
7855_sctg_114_194872	5	28.86	114	194872
31153_sctg_184_226268	5	33.883	184	226268
31150_sctg_184_224003	5	33.883	184	224003
31144_sctg_184_218748	5	33.883	184	218748
31107_sctg_184_135626	5	37.641	184	135626
31228_sctg_184_71548	5	37.641	184	71548
31129_sctg_184_16731	5	37.641	184	16731
8889_sctg_1182_1986	5	37.641	1182	1986
8890_sctg_1182_1989	5	37.641	1182	1989
84440_sctg_4_83410	5	37.641	4	83410
83664_sctg_4_122376	5	38.891	4	122376
83819_sctg_4_144063	5	38.891	4	144063
83842_sctg_4_146655	5	38.891	4	146655
83939_sctg_4_160175	5	38.891	4	160175
83970_sctg_4_181288	5	38.891	4	181288
83986_sctg_4_202933	5	38.891	4	202933
84009_sctg_4_238954	5	38.891	4	238954
84030_sctg_4_269254	5	40.141	4	269254
84039_sctg_4_275244	5	40.141	4	275244
84068_sctg_4_325520	5	40.141	4	325520
84101_sctg_4_372835	5	40.141	4	372835
84105_sctg_4_380345	5	40.141	4	380345
84108_sctg_4_387681	5	40.141	4	387681
84153_sctg_4_441891	5	40.141	4	441891
84172_sctg_4_465110	5	40.141	4	465110
84189_sctg_4_489819	5	40.141	4	489819
84215_sctg_4_552570	5	40.141	4	552570
84226_sctg_4_564098	5	40.141	4	564098
84243_sctg_4_592251	5	42.643	4	592251
84279_sctg_4_625398	5	42.643	4	625398
84284_sctg_4_632323	5	42.643	4	632323
84298_sctg_4_652463	5	42.643	4	652463
84299_sctg_4_652466	5	42.643	4	652466
84304_sctg_4_658246	5	42.643	4	658246
84333_sctg_4_696252	5	42.643	4	696252
84350_sctg_4_714831	5	42.643	4	714831
84361_sctg_4_725146	5	42.643	4	725146
84373_sctg_4_760543	5	45.147	4	760543
84481_sctg_4_874801	5	47.651	4	874801
84509_sctg_4_897394	5	47.651	4	897394
84534_sctg_4_922372	5	47.651	4	922372
84553_sctg_4_958462	5	47.651	4	958462
84562_sctg_4_967079	5	47.651	4	967079
83497_sctg_4_1008960	5	47.651	4	1008960
83532_sctg_4_1042939	5	47.651	4	1042939
83693_sctg_4_1272839	5	48.051	4	1272839
83697_sctg_4_1276517	5	49.147	4	1276517
83923_sctg_4_1579862	5	55.195	4	1579862
83927_sctg_4_1586205	5	55.195	4	1586205
77363_sctg_43_195459	5	56.447	43	195459
77429_sctg_43_313719	5	56.447	43	313719
77463_sctg_43_355970	5	56.447	43	355970
77471_sctg_43_369745	5	56.447	43	369745
77476_sctg_43_376941	5	56.447	43	376941
77484_sctg_43_389294	5	56.447	43	389294
77547_sctg_43_466738	5	57.698	43	466738
77597_sctg_43_534054	5	57.698	43	534054
77611_sctg_43_547977	5	57.698	43	547977
77608_sctg_43_544747	5	58.548	43	544747
77704_sctg_43_687038	5	58.948	43	687038
77720_sctg_43_711392	5	58.948	43	711392
77721_sctg_43_711610	5	58.948	43	711610
77727_sctg_43_720516	5	58.948	43	720516
77734_sctg_43_726390	5	58.948	43	726390
77743_sctg_43_754949	5	58.948	43	754949
77751_sctg_43_764508	5	58.948	43	764508
71531_sctg_395_53077	5	64.722	395	53077
71499_sctg_395_112549	5	64.732	395	112549
13290_sctg_129_446702	5	68.645	129	446702
13184_sctg_129_257193	5	70.267	129	257193
13185_sctg_129_257551	5	70.267	129	257551
13159_sctg_129_237056	5	70.267	129	237056
13078_sctg_129_103715	5	71.517	129	103715
13351_sctg_129_84750	5	71.517	129	84750
13346_sctg_129_81076	5	71.517	129	81076
13331_sctg_129_52362	5	74.019	129	52362
13323_sctg_129_50685	5	74.019	129	50685
13274_sctg_129_40730	5	75.27	129	40730
60974_sctg_323_16826	5	79.735	323	16826
60939_sctg_323_129165	5	82.705	323	129165
60970_sctg_323_164700	5	82.705	323	164700
41852_sctg_229_233639	5	82.705	229	233639
41851_sctg_229_233355	5	82.705	229	233355
41845_sctg_229_227185	5	83.98	229	227185
41840_sctg_229_220537	5	83.98	229	220537
41839_sctg_229_220535	5	83.98	229	220535
41799_sctg_229_162071	5	87.301	229	162071
21628_sctg_152_330553	5	93.994	152	330553
21625_sctg_152_327556	5	93.994	152	327556
21549_sctg_152_216224	5	99.023	152	216224
21508_sctg_152_135879	5	101.524	152	135879
21501_sctg_152_125996	5	101.524	152	125996
21500_sctg_152_125993	5	101.524	152	125993
21495_sctg_152_115381	5	101.524	152	115381
18412_sctg_143_22901	5	101.524	143	22901
18595_sctg_143_72199	5	102.124	143	72199
18347_sctg_143_100441	5	102.791	143	100441
18548_sctg_143_387080	5	105.332	143	387080
54455_sctg_291_143120	5	110.39	291	143120
54465_sctg_291_152301	5	110.39	291	152301
54472_sctg_291_155878	5	110.39	291	155878
54483_sctg_291_174145	5	110.39	291	174145
54484_sctg_291_174453	5	110.39	291	174453
54487_sctg_291_176871	5	110.39	291	176871
102018_sctg_75_67662	5	110.39	75	67662
102019_sctg_75_67913	5	110.39	75	67913
102020_sctg_75_68206	5	110.39	75	68206
102022_sctg_75_68590	5	110.39	75	68590
102032_sctg_75_81106	5	110.39	75	81106
101675_sctg_75_111592	5	110.39	75	111592
101676_sctg_75_111850	5	110.39	75	111850
101763_sctg_75_225331	5	110.39	75	225331
101765_sctg_75_231398	5	110.39	75	231398
101819_sctg_75_325870	5	110.39	75	325870
101824_sctg_75_329680	5	110.39	75	329680
101833_sctg_75_346896	5	110.39	75	346896
101845_sctg_75_376490	5	110.39	75	376490
101941_sctg_75_516065	5	110.39	75	516065
101955_sctg_75_530855	5	110.39	75	530855
101960_sctg_75_532250	5	110.39	75	532250
101980_sctg_75_597274	5	111.64	75	597274
21888_sctg_153_338759	5	111.64	153	338759
21880_sctg_153_328949	5	111.64	153	328949
21835_sctg_153_262207	5	112.89	153	262207
21820_sctg_153_235051	5	112.89	153	235051
21765_sctg_153_166413	5	117.907	153	166413
21762_sctg_153_165681	5	117.907	153	165681
21729_sctg_153_127038	5	117.907	153	127038
21728_sctg_153_122511	5	117.907	153	122511
21724_sctg_153_114066	5	117.907	153	114066
21979_sctg_153_86833	5	117.907	153	86833
21814_sctg_153_22599	5	117.907	153	22599
21986_sctg_153_9583	5	117.907	153	9583
106903_sctg_85_512122	6	0	85	512122
106856_sctg_85_464685	6	0	85	464685
106780_sctg_85_371631	6	0.061	85	371631
106769_sctg_85_366801	6	0.132	85	366801
106746_sctg_85_328473	6	2.289	85	328473
106695_sctg_85_197625	6	4.588	85	197625
107001_sctg_85_75109	6	7.598	85	75109
106992_sctg_85_69838	6	7.598	85	69838
106677_sctg_85_18074	6	7.598	85	18074
106657_sctg_85_15323	6	7.598	85	15323
106585_sctg_850_505	6	7.598	850	505
51825_sctg_279_4007	6	7.598	279	4007
51815_sctg_279_21441	6	7.598	279	21441
51728_sctg_279_117778	6	10.1	279	117778
51730_sctg_279_121131	6	10.1	279	121131
51731_sctg_279_121583	6	10.1	279	121583
51740_sctg_279_134202	6	10.1	279	134202
51754_sctg_279_158190	6	10.1	279	158190
51772_sctg_279_176012	6	10.1	279	176012
51775_sctg_279_176306	6	10.1	279	176306
51777_sctg_279_177834	6	10.1	279	177834
51795_sctg_279_193858	6	10.1	279	193858
51796_sctg_279_193861	6	10.1	279	193861
58355_sctg_309_41827	6	11.352	309	41827
58302_sctg_309_124163	6	11.352	309	124163
58327_sctg_309_156704	6	12.603	309	156704
58340_sctg_309_177456	6	13.854	309	177456
58345_sctg_309_190576	6	13.854	309	190576
18059_sctg_141_9436	6	13.854	141	9436
17825_sctg_141_16232	6	13.854	141	16232
17890_sctg_141_25234	6	13.854	141	25234
17929_sctg_141_32105	6	13.854	141	32105
17930_sctg_141_32437	6	13.854	141	32437
17931_sctg_141_32440	6	13.854	141	32440
17780_sctg_141_104120	6	18.87	141	104120
17781_sctg_141_105799	6	18.87	141	105799
17799_sctg_141_132113	6	18.87	141	132113
17803_sctg_141_135435	6	18.87	141	135435
17817_sctg_141_151155	6	18.87	141	151155
17834_sctg_141_181533	6	18.87	141	181533
17839_sctg_141_182402	6	18.87	141	182402
17844_sctg_141_197186	6	18.87	141	197186
17887_sctg_141_250282	6	20.121	141	250282
17902_sctg_141_292525	6	20.121	141	292525
17903_sctg_141_292797	6	20.121	141	292797
17905_sctg_141_293038	6	20.121	141	293038
17907_sctg_141_293959	6	20.121	141	293959
17933_sctg_141_324625	6	21.372	141	324625
17946_sctg_141_335740	6	21.372	141	335740
17953_sctg_141_336989	6	21.372	141	336989
18015_sctg_141_431817	6	22.622	141	431817
65412_sctg_350_133113	6	22.622	350	133113
65407_sctg_350_118667	6	23.873	350	118667
65503_sctg_350_90375	6	23.873	350	90375
84702_sctg_503_42026	6	26.377	503	42026
84703_sctg_503_42029	6	26.377	503	42029
70161_sctg_384_68311	6	27.629	384	68311
25492_sctg_165_354487	6	27.629	165	354487
25451_sctg_165_289631	6	31.246	165	289631
25442_sctg_165_280733	6	31.386	165	280733
25436_sctg_165_262597	6	31.386	165	262597
25410_sctg_165_222011	6	31.386	165	222011
25409_sctg_165_222008	6	31.386	165	222008
25391_sctg_165_196232	6	31.386	165	196232
25380_sctg_165_166412	6	31.386	165	166412
25376_sctg_165_162986	6	31.386	165	162986
25367_sctg_165_161859	6	31.386	165	161859
25354_sctg_165_151201	6	31.386	165	151201
95686_sctg_64_647382	6	37.669	64	647382
95656_sctg_64_609473	6	37.669	64	609473
95628_sctg_64_583078	6	37.669	64	583078
95619_sctg_64_577841	6	37.669	64	577841
95611_sctg_64_566686	6	38.919	64	566686
95610_sctg_64_566358	6	38.919	64	566358
95609_sctg_64_566355	6	38.919	64	566355
95543_sctg_64_476420	6	38.919	64	476420
95441_sctg_64_305488	6	41.421	64	305488
95416_sctg_64_250741	6	41.421	64	250741
95394_sctg_64_210631	6	41.421	64	210631
45705_sctg_246_189192	6	41.421	246	189192
45675_sctg_246_145932	6	41.421	246	145932
45670_sctg_246_142852	6	41.421	246	142852
45661_sctg_246_133513	6	41.421	246	133513
45658_sctg_246_132825	6	41.421	246	132825
45656_sctg_246_130761	6	42.672	246	130761
45639_sctg_246_116122	6	42.672	246	116122
45638_sctg_246_108283	6	42.672	246	108283
45630_sctg_246_107295	6	42.672	246	107295
73416_sctg_401_118014	6	45.174	401	118014
73436_sctg_401_47282	6	45.174	401	47282
73431_sctg_401_4368	6	47.627	401	4368
94422_sctg_62_668256	6	47.677	62	668256
94421_sctg_62_667997	6	47.677	62	667997
94284_sctg_62_474983	6	48.929	62	474983
94282_sctg_62_474011	6	48.929	62	474011
94278_sctg_62_466339	6	49.079	62	466339
94252_sctg_62_419210	6	52.686	62	419210
94242_sctg_62_414635	6	52.686	62	414635
94178_sctg_62_325974	6	52.686	62	325974
94114_sctg_62_219717	6	55.188	62	219717
94108_sctg_62_208032	6	55.188	62	208032
94095_sctg_62_185024	6	55.188	62	185024
94089_sctg_62_170406	6	55.188	62	170406
94507_sctg_62_94503	6	55.188	62	94503
86894_sctg_52_715521	6	56.44	52	715521
86507_sctg_52_182314	6	58.944	52	182314
86474_sctg_52_122197	6	58.944	52	122197
86779_sctg_52_57585	6	60.2	52	57585
74585_sctg_411_50253	6	63.944	411	50253
74587_sctg_411_51318	6	63.964	411	51318
53807_sctg_28_105469	6	63.964	28	105469
53893_sctg_28_234824	6	63.964	28	234824
53923_sctg_28_290342	6	63.964	28	290342
53941_sctg_28_310465	6	63.964	28	310465
53944_sctg_28_312064	6	63.964	28	312064
53947_sctg_28_318280	6	63.964	28	318280
53978_sctg_28_343886	6	63.964	28	343886
53982_sctg_28_348294	6	63.964	28	348294
54028_sctg_28_464562	6	66.466	28	464562
54032_sctg_28_466159	6	66.466	28	466159
54039_sctg_28_499919	6	66.466	28	499919
54065_sctg_28_540789	6	66.466	28	540789
54071_sctg_28_550134	6	66.466	28	550134
54102_sctg_28_588301	6	66.466	28	588301
54105_sctg_28_594912	6	66.466	28	594912
54108_sctg_28_601936	6	66.466	28	601936
54224_sctg_28_836888	6	66.466	28	836888
28382_sctg_175_177513	6	70.232	175	177513
28474_sctg_175_331161	6	71.489	175	331161
47099_sctg_252_169582	6	71.489	252	169582
66218_sctg_358_84633	6	75.256	358	84633
66224_sctg_358_89555	6	75.256	358	89555
66130_sctg_358_102835	6	75.256	358	102835
66139_sctg_358_109608	6	75.256	358	109608
66152_sctg_358_115090	6	75.256	358	115090
66157_sctg_358_122936	6	75.256	358	122936
66172_sctg_358_140615	6	75.256	358	140615
71168_sctg_391_116005	6	75.256	391	116005
71189_sctg_391_21592	6	76.506	391	21592
47500_sctg_255_219552	6	76.506	255	219552
47562_sctg_255_96307	6	77.756	255	96307
47526_sctg_255_57183	6	77.756	255	57183
47524_sctg_255_56822	6	77.756	255	56822
107325_sctg_86_51533	6	77.756	86	51533
107343_sctg_86_57441	6	77.756	86	57441
107363_sctg_86_65938	6	77.756	86	65938
107370_sctg_86_71551	6	77.756	86	71551
107109_sctg_86_134890	6	77.756	86	134890
107126_sctg_86_192229	6	79.008	86	192229
107191_sctg_86_278443	6	80.259	86	278443
107198_sctg_86_297387	6	82.139	86	297387
107259_sctg_86_398351	6	84.019	86	398351
107267_sctg_86_401958	6	84.019	86	401958
107276_sctg_86_414730	6	84.019	86	414730
107286_sctg_86_436775	6	84.019	86	436775
47356_sctg_254_161396	6	91.584	254	161396
47350_sctg_254_155941	6	91.584	254	155941
47333_sctg_254_143215	6	91.584	254	143215
47324_sctg_254_11835	6	95.357	254	11835
15990_sctg_136_431558	6	95.357	136	431558
15988_sctg_136_431360	6	95.357	136	431360
15970_sctg_136_404447	6	95.357	136	404447
15967_sctg_136_398578	6	95.357	136	398578
15963_sctg_136_395230	6	95.357	136	395230
15947_sctg_136_372104	6	95.357	136	372104
15937_sctg_136_365054	6	95.357	136	365054
15931_sctg_136_358339	6	95.357	136	358339
15750_sctg_136_140194	6	98.188	136	140194
94595_sctg_638_21377	6	107.037	638	21377
31669_sctg_186_48044	6	107.037	186	48044
31568_sctg_186_193601	6	110.383	186	193601
90340_sctg_57_749592	7	0	57	749592
90325_sctg_57_729351	7	0	57	729351
90315_sctg_57_708179	7	0	57	708179
90312_sctg_57_707236	7	0	57	707236
90310_sctg_57_706101	7	0	57	706101
90303_sctg_57_698790	7	0	57	698790
90299_sctg_57_684846	7	0	57	684846
90292_sctg_57_668010	7	0	57	668010
90290_sctg_57_666753	7	0	57	666753
90284_sctg_57_656892	7	0	57	656892
90281_sctg_57_654620	7	0	57	654620
90272_sctg_57_628364	7	5.018	57	628364
90263_sctg_57_608827	7	5.018	57	608827
90244_sctg_57_572912	7	5.018	57	572912
90236_sctg_57_553275	7	6.269	57	553275
90234_sctg_57_553056	7	6.269	57	553056
90118_sctg_57_386411	7	6.269	57	386411
90117_sctg_57_384500	7	6.269	57	384500
90090_sctg_57_337720	7	6.269	57	337720
90089_sctg_57_337360	7	6.269	57	337360
90047_sctg_57_291843	7	7.519	57	291843
90011_sctg_57_260312	7	7.519	57	260312
89966_sctg_57_196519	7	7.519	57	196519
90362_sctg_57_89451	7	7.519	57	89451
90352_sctg_57_7589	7	7.519	57	7589
85498_sctg_511_42000	7	7.519	511	42000
79533_sctg_45_422617	7	15.077	45	422617
79574_sctg_45_471144	7	16.742	45	471144
79661_sctg_45_595277	7	20.09	45	595277
79664_sctg_45_600174	7	20.09	45	600174
79665_sctg_45_604032	7	20.09	45	604032
79677_sctg_45_615909	7	20.09	45	615909
79678_sctg_45_616313	7	20.09	45	616313
79683_sctg_45_620854	7	20.09	45	620854
79688_sctg_45_621740	7	20.09	45	621740
79754_sctg_45_698183	7	24.292	45	698183
79793_sctg_45_745652	7	24.292	45	745652
74754_sctg_413_76741	7	26.363	413	76741
74753_sctg_413_76738	7	26.363	413	76738
74746_sctg_413_72132	7	26.363	413	72132
74737_sctg_413_57849	7	26.423	413	57849
67162_sctg_362_56809	7	31.38	362	56809
67165_sctg_362_64121	7	31.38	362	64121
67166_sctg_362_64463	7	31.38	362	64463
67183_sctg_362_91918	7	31.38	362	91918
67108_sctg_362_110448	7	31.38	362	110448
67116_sctg_362_126544	7	31.38	362	126544
67125_sctg_362_155493	7	31.38	362	155493
93643_sctg_61_3839	7	31.38	61	3839
93823_sctg_61_64979	7	35.137	61	64979
93501_sctg_61_151265	7	35.137	61	151265
93511_sctg_61_175016	7	35.137	61	175016
93547_sctg_61_238179	7	35.137	61	238179
93549_sctg_61_238654	7	35.137	61	238654
93648_sctg_61_393021	7	35.137	61	393021
93713_sctg_61_509275	7	37.639	61	509275
93715_sctg_61_509476	7	37.639	61	509476
93748_sctg_61_551335	7	37.639	61	551335
43766_sctg_237_98591	7	42.656	237	98591
43554_sctg_237_114310	7	42.656	237	114310
43572_sctg_237_145010	7	42.656	237	145010
43663_sctg_237_227837	7	42.656	237	227837
43665_sctg_237_228761	7	42.656	237	228761
48862_sctg_261_136826	7	42.656	261	136826
48963_sctg_261_86306	7	42.656	261	86306
48936_sctg_261_55017	7	42.656	261	55017
48929_sctg_261_44282	7	42.656	261	44282
48927_sctg_261_43777	7	42.656	261	43777
48924_sctg_261_42327	7	42.656	261	42327
48893_sctg_261_18269	7	42.656	261	18269
48882_sctg_261_16566	7	42.656	261	16566
48877_sctg_261_15942	7	42.656	261	15942
61526_sctg_327_75242	7	43.907	327	75242
80831_sctg_46_797816	7	46.41	46	797816
80795_sctg_46_760128	7	46.41	46	760128
80706_sctg_46_624414	7	47.664	46	624414
80630_sctg_46_515555	7	51.026	46	515555
80609_sctg_46_483558	7	52.703	46	483558
80603_sctg_46_467410	7	52.703	46	467410
80508_sctg_46_309948	7	52.703	46	309948
